#####################
# rcvd_log Node CCNoEther_Tau_2cli_2rtr_1svr.client2.net
#####################
# time	 recv i		 recv c		 recv i+c
2	 0.500000	 ?	 0.500000
2	 ?	 0.499961	 6375.924509
10.25	 0.121212	 ?	 0.121214
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 inf	 ?	 inf
10.25	 ?	 0.121212	 6375.924509
10.25	 ?	 21514.630410	 21514.630410
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
