#####################
# rcvd_log Node CCNoEther_Tau_2cli_2rtr_1svr.router1.net
#####################
# time	 recv i		 recv c		 recv i+c
1	 0.999994	 ?	 0.999994
1	 ?	 0.999889	 9563.886764
2	 1.000000	 ?	 1.000105
2	 ?	 1.000000	 9563.886764
10	 0.125000	 ?	 0.125002
10	 148809.545955	 ?	 148809.545955
10	 148809.545955	 ?	 148809.545955
10	 148809.545955	 ?	 148809.545955
10	 148809.545955	 ?	 148809.545955
10	 ?	 0.125000	 11848.340811
10	 ?	 21514.630411	 21514.630411
10	 ?	 21514.630411	 21514.630411
10	 ?	 21514.630411	 21514.630411
10.25	 4.000430	 ?	 4.004016
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545916	 ?	 148809.545916
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 148809.545955	 ?	 148809.545955
10.25	 ?	 4.002340	 22686.020777
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630410	 21514.630410
10.25	 ?	 21514.630411	 21514.630411
10.25	 ?	 21514.630411	 21514.630411
